ID, DateTimeUTC, TapType, StopId, CompanyId, BusID, PAN
1, 22-01-2018 13:00:00, ON, Stop1, Company1, Bus37, 34343434343434
2, 22-01-2018 13:05:00, OFF, Stop2, Company1, Bus37, 34343434343434
3, 23-01-2018 13:00:00, ON, Stop2, Company2, Bus37, 4444333322221111 
4, 23-01-2018 13:05:00, OFF, Stop3, Company2, Bus37, 4444333322221111
5, 24-01-2018 13:00:00, ON, Stop2, Company2, Bus37, 34343434343434
6, 24-01-2018 13:05:00, OFF, Stop3, Company2, Bus38, 34343434343434
7, 25-01-2018 13:00:00, ON, Stop1, Company1, Bus37, 3528000700000000 
8, 25-01-2018 13:05:00, ON, Stop1, Company1, Bus37, 3528000700000000
9, 26-01-2018 13:05:00, ON, Stop1, Company1, Bus37, 3528000700000000
10, 26-01-2018 13:05:00, ON, Stop1, Company1, Bus37, 5019717010103742
11, 26-01-2018 13:05:00, OFF, Stop1, Company1, Bus37, 5019717010103742
